"id","linia","dostawca","zawartosc_bialka","zawartosc_tluszczu","temperatura_proc","czas_procesu_min","bialko_ponizej_normy","tluszcz_powyzej_normy"
1,"C","krajowy",24.93,2.863,90.4,53,TRUE,FALSE
2,"C","krajowy",26.11,2.837,78.8,52,FALSE,FALSE
3,"B","lokalny",25.56,2.725,81.5,50,TRUE,FALSE
4,"B","importowany",25.86,2.919,77.7,48,TRUE,FALSE
5,"B","krajowy",26.86,2.672,69.7,34,FALSE,FALSE
6,"A","krajowy",26.34,2.754,73.1,41,FALSE,FALSE
7,"A","krajowy",26.25,2.401,81.2,38,FALSE,FALSE
8,"A","lokalny",25.96,2.396,76.3,45,TRUE,FALSE
9,"C","importowany",27.38,2.806,80.7,35,FALSE,FALSE
10,"B","krajowy",25.55,2.864,74.6,37,TRUE,FALSE
11,"A","lokalny",26.98,2.806,85.6,52,FALSE,FALSE
12,"A","importowany",27.98,3.187,82.1,47,FALSE,TRUE
13,"A","krajowy",28.97,2.784,79,34,FALSE,FALSE
14,"B","krajowy",27.06,2.784,70.6,51,FALSE,FALSE
15,"B","krajowy",24.76,2.465,72.6,43,TRUE,FALSE
16,"C","importowany",27.49,2.848,83.2,59,FALSE,FALSE
17,"B","krajowy",26.42,2.777,78.3,53,FALSE,FALSE
18,"B","importowany",25.82,2.712,76.8,39,TRUE,FALSE
19,"C","krajowy",27.38,3.143,75.6,54,FALSE,TRUE
20,"A","krajowy",26.75,2.651,75.7,37,FALSE,FALSE
21,"A","lokalny",24.63,2.845,71.8,45,TRUE,FALSE
22,"C","importowany",27.68,3.205,78.4,40,FALSE,TRUE
23,"A","lokalny",26.95,2.881,71.7,43,FALSE,FALSE
24,"B","lokalny",25.62,2.812,79.4,47,TRUE,FALSE
25,"C","importowany",28.44,2.981,78,51,FALSE,FALSE
26,"A","krajowy",26.78,2.591,82.7,28,FALSE,FALSE
27,"C","lokalny",25.15,2.416,79.7,52,TRUE,FALSE
28,"A","krajowy",27.72,2.896,72.2,55,FALSE,FALSE
29,"B","lokalny",26.69,3.116,81.2,53,FALSE,TRUE
30,"A","importowany",30.65,2.664,73.2,57,FALSE,FALSE
31,"B","krajowy",26.23,3.007,76.8,43,FALSE,TRUE
32,"B","krajowy",27.13,2.366,73.8,49,FALSE,FALSE
33,"A","krajowy",27.77,2.368,78.4,50,FALSE,FALSE
34,"C","krajowy",25.05,2.945,79,37,TRUE,FALSE
35,"C","lokalny",23.49,2.996,78.7,29,TRUE,FALSE
36,"B","importowany",27.24,2.768,75,47,FALSE,FALSE
37,"A","importowany",30.71,2.568,78.3,23,FALSE,FALSE
38,"A","lokalny",25.81,3.283,82.3,39,TRUE,TRUE
39,"A","importowany",28.21,2.509,80,36,FALSE,FALSE
40,"B","krajowy",27.98,2.535,78.5,46,FALSE,FALSE
41,"A","krajowy",27.37,2.867,86.2,56,FALSE,FALSE
42,"A","lokalny",27.37,2.762,84.2,56,FALSE,FALSE
43,"A","krajowy",26.48,2.16,80.4,51,FALSE,FALSE
44,"A","krajowy",27.8,2.816,73.7,48,FALSE,FALSE
45,"B","krajowy",25.54,2.683,73.6,36,TRUE,FALSE
46,"B","krajowy",27.85,2.741,86.7,45,FALSE,FALSE
47,"A","importowany",27.11,2.778,71.6,36,FALSE,FALSE
48,"C","lokalny",26.22,3.008,80.9,36,FALSE,TRUE
49,"C","lokalny",26.3,2.966,89.7,49,FALSE,FALSE
50,"C","lokalny",25.08,2.827,74,45,TRUE,FALSE
51,"B","lokalny",27.46,2.829,83.7,49,FALSE,FALSE
52,"C","lokalny",25.24,3.522,74.7,46,TRUE,TRUE
53,"A","importowany",30.14,2.65,74.8,42,FALSE,FALSE
54,"C","krajowy",24.63,3.118,76.5,36,TRUE,TRUE
55,"C","lokalny",24.75,3.018,78.7,57,TRUE,TRUE
56,"C","krajowy",26.97,3.233,75.6,55,FALSE,TRUE
57,"C","importowany",28.09,3.036,73.7,43,FALSE,TRUE
58,"A","importowany",28.47,2.638,80.3,48,FALSE,FALSE
59,"B","krajowy",27.58,2.634,80.5,49,FALSE,FALSE
60,"A","krajowy",28.12,2.89,79.1,59,FALSE,FALSE
61,"B","krajowy",25.06,2.726,82.3,46,TRUE,FALSE
62,"C","krajowy",28.38,3.186,74.4,46,FALSE,TRUE
63,"C","lokalny",25.02,2.659,78.8,54,TRUE,FALSE
64,"A","lokalny",27.06,2.941,90,56,FALSE,FALSE
65,"B","lokalny",25.6,3.052,66.8,54,TRUE,TRUE
66,"C","krajowy",27.43,3.035,74.4,53,FALSE,TRUE
67,"C","importowany",26.88,3.047,82.7,51,FALSE,TRUE
68,"A","importowany",28,3.214,80.2,43,FALSE,TRUE
69,"C","krajowy",27.25,3.277,78,48,FALSE,TRUE
70,"B","krajowy",29.27,2.439,70.7,43,FALSE,FALSE
71,"B","lokalny",25.69,2.848,77.1,32,TRUE,FALSE
72,"C","lokalny",26.57,3.01,78.5,52,FALSE,TRUE
73,"C","importowany",26.32,2.947,79.2,42,FALSE,FALSE
74,"A","importowany",28.94,2.867,76.1,38,FALSE,FALSE
75,"A","krajowy",26.59,2.537,79.8,50,FALSE,FALSE
76,"A","krajowy",28.24,2.679,77.8,43,FALSE,FALSE
77,"B","krajowy",27.64,2.683,84.2,25,FALSE,FALSE
78,"B","krajowy",28.11,2.835,87.5,41,FALSE,FALSE
79,"A","krajowy",26.85,2.765,76.5,28,FALSE,FALSE
80,"A","krajowy",26.99,2.982,74,49,FALSE,FALSE
81,"C","lokalny",25.04,3.293,83.4,35,TRUE,TRUE
82,"B","krajowy",25.95,2.963,76.3,50,TRUE,FALSE
83,"B","krajowy",25.8,3.169,75.8,43,TRUE,TRUE
84,"B","krajowy",25.74,3.093,73,55,TRUE,TRUE
85,"C","krajowy",27.54,3.152,77.3,34,FALSE,TRUE
86,"B","krajowy",25.1,2.625,77,43,TRUE,FALSE
87,"B","krajowy",25.85,2.591,71.9,36,TRUE,FALSE
88,"C","krajowy",26.02,3.162,85.9,59,FALSE,TRUE
89,"B","lokalny",26.94,2.812,72.7,29,FALSE,FALSE
90,"C","krajowy",24.4,3.135,80,53,TRUE,TRUE
91,"B","krajowy",27.83,2.842,76.3,50,FALSE,FALSE
92,"B","krajowy",26.69,3.013,76.9,41,FALSE,TRUE
