"miesiac","rok","liczba_wypadkow"
1,2021,3
2,2021,3
3,2021,1
4,2021,1
5,2021,3
6,2021,0
7,2021,2
8,2021,4
9,2021,1
10,2021,3
11,2021,0
12,2021,3
1,2022,1
2,2022,4
3,2022,1
4,2022,2
5,2022,3
6,2022,0
7,2022,2
8,2022,0
9,2022,2
10,2022,2
11,2022,1
12,2022,0
1,2023,2
2,2023,1
3,2023,2
4,2023,1
5,2023,0
6,2023,3
7,2023,5
8,2023,1
9,2023,3
10,2023,0
11,2023,3
12,2023,2
1,2024,1
2,2024,2
3,2024,3
4,2024,2
5,2024,2
6,2024,4
7,2024,2
8,2024,2
9,2024,0
10,2024,0
11,2024,5
12,2024,2
1,2025,2
2,2025,1
3,2025,6
4,2025,3
5,2025,6
6,2025,4
7,2025,2
8,2025,3
9,2025,3
10,2025,0
11,2025,5
12,2025,1
