"date","year","month","stopa","data_origin"
"2000-01-01",2000,1,16.12,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-02-01",2000,2,15.87,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-03-01",2000,3,15.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-04-01",2000,4,15.12,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-05-01",2000,5,14.73,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-06-01",2000,6,14.87,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-07-01",2000,7,15.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-08-01",2000,8,15.83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-09-01",2000,9,16.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-10-01",2000,10,16.58,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-11-01",2000,11,17.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-12-01",2000,12,17.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-01-01",2001,1,17.37,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-02-01",2001,2,17.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-03-01",2001,3,17.09,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-04-01",2001,4,16.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-05-01",2001,5,16.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-06-01",2001,6,16.61,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-07-01",2001,7,17.25,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-08-01",2001,8,17.29,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-09-01",2001,9,17.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-10-01",2001,10,17.88,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-11-01",2001,11,18.66,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-12-01",2001,12,18.98,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-01-01",2002,1,19.02,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-02-01",2002,2,19.09,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-03-01",2002,3,18.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-04-01",2002,4,18.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-05-01",2002,5,18.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-06-01",2002,6,18.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-07-01",2002,7,18.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-08-01",2002,8,19.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-09-01",2002,9,19.31,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-10-01",2002,10,19.71,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-11-01",2002,11,20.28,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-12-01",2002,12,20.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-01-01",2003,1,20.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-02-01",2003,2,20.57,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-03-01",2003,3,20.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-04-01",2003,4,19.28,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-05-01",2003,5,19.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-06-01",2003,6,18.56,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-07-01",2003,7,18.76,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-08-01",2003,8,18.91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-09-01",2003,9,18.86,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-10-01",2003,10,19.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-11-01",2003,11,19.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-12-01",2003,12,19.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-01-01",2004,1,19.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-02-01",2004,2,18.58,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-03-01",2004,3,18.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-04-01",2004,4,17.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-05-01",2004,5,17.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-06-01",2004,6,16.88,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-07-01",2004,7,17.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-08-01",2004,8,16.92,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-09-01",2004,9,17,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-10-01",2004,10,17.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-11-01",2004,11,17.53,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2004-12-01",2004,12,17.83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-01-01",2005,1,17.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-02-01",2005,2,17.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-03-01",2005,3,16.49,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-04-01",2005,4,15.72,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-05-01",2005,5,15.16,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-06-01",2005,6,15.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-07-01",2005,7,15.15,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-08-01",2005,8,15.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-09-01",2005,9,15.27,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-10-01",2005,10,15.65,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-11-01",2005,11,15.81,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2005-12-01",2005,12,15.97,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-01-01",2006,1,15.49,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-02-01",2006,2,15.15,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-03-01",2006,3,14.54,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-04-01",2006,4,13.91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-05-01",2006,5,13.68,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-06-01",2006,6,13.19,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-07-01",2006,7,13.11,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-08-01",2006,8,13.27,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-09-01",2006,9,13.29,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-10-01",2006,10,13.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-11-01",2006,11,13.86,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2006-12-01",2006,12,14.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-01-01",2007,1,13.99,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-02-01",2007,2,13.69,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-03-01",2007,3,13.22,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-04-01",2007,4,12.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-05-01",2007,5,11.74,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-06-01",2007,6,11.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-07-01",2007,7,11.63,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-08-01",2007,8,11.51,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-09-01",2007,9,11.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-10-01",2007,10,11.57,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2007-11-01",2007,11,12.14,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
