"date","year","month","cena_pln","data_origin"
"2000-01-01",2000,1,51.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-02-01",2000,2,53.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-03-01",2000,3,48.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-04-01",2000,4,49.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-05-01",2000,5,54.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-06-01",2000,6,46.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-07-01",2000,7,46.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-08-01",2000,8,49.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-09-01",2000,9,49.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-10-01",2000,10,52.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-11-01",2000,11,47.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2000-12-01",2000,12,47.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-01-01",2001,1,41.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-02-01",2001,2,39.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-03-01",2001,3,41.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-04-01",2001,4,48.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-05-01",2001,5,49.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-06-01",2001,6,49.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-07-01",2001,7,52.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-08-01",2001,8,63.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-09-01",2001,9,64.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-10-01",2001,10,62.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-11-01",2001,11,62.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2001-12-01",2001,12,62.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-01-01",2002,1,56.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-02-01",2002,2,51.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-03-01",2002,3,48.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-04-01",2002,4,56.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-05-01",2002,5,50.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-06-01",2002,6,41.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-07-01",2002,7,44.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-08-01",2002,8,43,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-09-01",2002,9,46.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-10-01",2002,10,49.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-11-01",2002,11,56.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2002-12-01",2002,12,59.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-01-01",2003,1,55.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-02-01",2003,2,54.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-03-01",2003,3,55.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2003-04-01",2003,4,60.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
