"date","year","month","temp","data_origin"
"1951-01-01",1951,1,-1.83,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-02-01",1951,2,-1.14,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-03-01",1951,3,3.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-04-01",1951,4,8.71,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-05-01",1951,5,16.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-06-01",1951,6,19.62,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-07-01",1951,7,20.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-08-01",1951,8,19.04,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-09-01",1951,9,12.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-10-01",1951,10,6.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-11-01",1951,11,-0.12,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1951-12-01",1951,12,-0.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-01-01",1952,1,-2.01,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-02-01",1952,2,-1.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-03-01",1952,3,-1.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-04-01",1952,4,8.82,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-05-01",1952,5,13.23,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-06-01",1952,6,18.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-07-01",1952,7,17.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-08-01",1952,8,16.42,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-09-01",1952,9,15.64,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-10-01",1952,10,8.49,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-11-01",1952,11,3.71,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1952-12-01",1952,12,-1.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-01-01",1953,1,-2.59,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-02-01",1953,2,-3.91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-03-01",1953,3,3.09,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-04-01",1953,4,10.01,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-05-01",1953,5,11.68,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-06-01",1953,6,17.71,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-07-01",1953,7,17.65,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-08-01",1953,8,18.81,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-09-01",1953,9,13.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-10-01",1953,10,9.75,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-11-01",1953,11,1.57,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1953-12-01",1953,12,-0.88,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-01-01",1954,1,-2.65,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-02-01",1954,2,-2.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-03-01",1954,3,2.48,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-04-01",1954,4,9.68,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-05-01",1954,5,13.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-06-01",1954,6,17.88,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-07-01",1954,7,20.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-08-01",1954,8,22.05,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-09-01",1954,9,12.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-10-01",1954,10,8.28,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-11-01",1954,11,2.76,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1954-12-01",1954,12,-0.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-01-01",1955,1,-2.21,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-02-01",1955,2,1.02,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-03-01",1955,3,2.53,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-04-01",1955,4,8.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-05-01",1955,5,13.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"1955-06-01",1955,6,16.47,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
