"tydzien","sezon","liczba_wystapien"
1,"2023",4
2,"2023",3
3,"2023",1
4,"2023",2
5,"2023",3
6,"2023",0
7,"2023",2
8,"2023",5
9,"2023",2
10,"2023",3
11,"2023",0
12,"2023",3
13,"2023",2
14,"2023",5
15,"2023",1
1,"2024",2
2,"2024",3
3,"2024",0
4,"2024",2
5,"2024",0
6,"2024",2
7,"2024",2
8,"2024",2
9,"2024",1
10,"2024",2
11,"2024",1
12,"2024",2
13,"2024",1
14,"2024",0
15,"2024",3
1,"2025",5
2,"2025",1
3,"2025",4
4,"2025",0
5,"2025",3
6,"2025",2
7,"2025",1
8,"2025",3
9,"2025",4
10,"2025",2
11,"2025",2
12,"2025",5
13,"2025",2
14,"2025",2
15,"2025",1
