"id","branza","wielkosc","zmiany","wskaznik_wypadkow","absencja_dni","szkolenia_rocznie","naruszen_proc","ponad_norma_halas"
1,"spozywcza","duzy","trzy",10.46,8.2,0,7,TRUE
2,"spozywcza","maly","jedna",10,12.4,6,10.3,FALSE
3,"metalowa","sredni","jedna",10.64,10,4,15.5,TRUE
4,"metalowa","duzy","jedna",8.11,9,6,0,TRUE
5,"spozywcza","sredni","dwie",13.03,19.4,2,12.6,FALSE
6,"metalowa","maly","trzy",18.69,17.9,4,10.5,TRUE
7,"spozywcza","maly","trzy",11.78,20,5,10.2,TRUE
8,"chemiczna","maly","jedna",11.11,16.2,4,16,TRUE
9,"metalowa","sredni","trzy",9.48,14.4,5,11.8,FALSE
10,"spozywcza","maly","dwie",0.61,15.6,5,7.9,TRUE
11,"metalowa","maly","trzy",20.1,18.4,3,32.8,FALSE
12,"spozywcza","maly","jedna",7.26,14.2,3,11.1,FALSE
13,"metalowa","maly","trzy",10.66,28.9,3,0,FALSE
14,"chemiczna","duzy","dwie",14.18,15.5,2,6.3,FALSE
15,"metalowa","sredni","dwie",10.03,21.8,0,15,FALSE
16,"metalowa","duzy","dwie",10.53,8.3,2,20.7,TRUE
17,"spozywcza","sredni","jedna",7.72,14.3,6,0,FALSE
18,"metalowa","maly","jedna",6.73,10.3,7,0,TRUE
19,"metalowa","sredni","trzy",11.69,9.3,1,13.6,FALSE
20,"metalowa","maly","trzy",9.91,11.9,2,18.7,TRUE
21,"metalowa","sredni","dwie",15.76,27.5,0,24,TRUE
22,"metalowa","maly","dwie",13.06,15.5,4,6.9,TRUE
23,"metalowa","sredni","jedna",10.28,12.3,2,6.7,TRUE
24,"metalowa","sredni","dwie",16.23,22.6,1,33.5,FALSE
25,"spozywcza","duzy","dwie",6.95,9.8,3,15.4,FALSE
26,"metalowa","sredni","dwie",11.31,16.3,1,16.6,FALSE
27,"spozywcza","sredni","dwie",7.53,14.2,5,12.1,FALSE
28,"metalowa","sredni","trzy",11.24,13.5,4,3.6,TRUE
29,"metalowa","maly","dwie",12.18,14.3,3,13.5,FALSE
30,"spozywcza","sredni","trzy",11.38,22.2,5,11.3,FALSE
31,"chemiczna","maly","jedna",9.15,13.3,4,3.8,FALSE
32,"metalowa","duzy","trzy",18.5,28.5,0,15.9,TRUE
33,"spozywcza","sredni","jedna",4.4,10.3,4,14.1,FALSE
34,"metalowa","sredni","jedna",10.21,13.6,4,0,FALSE
35,"spozywcza","maly","dwie",11.38,12.8,4,18.8,FALSE
36,"spozywcza","duzy","trzy",4.54,0,2,12.3,FALSE
37,"metalowa","duzy","jedna",6.69,4.7,3,7,FALSE
38,"spozywcza","sredni","trzy",10.46,14.4,3,5.6,FALSE
39,"chemiczna","maly","jedna",7.19,9.8,1,28.5,FALSE
40,"spozywcza","maly","trzy",5.27,18.1,7,0.4,TRUE
41,"metalowa","sredni","jedna",8.23,14.8,0,18.3,FALSE
42,"chemiczna","sredni","dwie",11.84,13.5,2,9,FALSE
43,"spozywcza","duzy","jedna",4.09,15.2,5,0.1,FALSE
44,"spozywcza","sredni","dwie",6.97,9.7,0,22.6,FALSE
45,"metalowa","maly","trzy",10.79,15.7,4,9,FALSE
46,"metalowa","sredni","jedna",12.59,18.7,3,13.2,TRUE
47,"chemiczna","duzy","dwie",7.17,13,3,6.3,FALSE
48,"metalowa","duzy","dwie",13.44,15.6,0,25.9,TRUE
49,"spozywcza","maly","dwie",5.35,10.6,2,18,TRUE
50,"metalowa","duzy","dwie",17.94,17.7,4,12.9,TRUE
51,"chemiczna","maly","trzy",11.89,21.6,2,17.4,FALSE
52,"spozywcza","maly","dwie",1.13,9.2,5,17.3,FALSE
53,"chemiczna","duzy","jedna",12.9,12.5,3,18.1,FALSE
54,"chemiczna","maly","dwie",9.06,11.8,3,7.6,FALSE
55,"spozywcza","maly","trzy",9.13,9.8,3,14.8,FALSE
56,"spozywcza","sredni","jedna",10.74,16.7,4,9.9,FALSE
