"id","klasa_gleby","nawozenie","powierzchnia_ha","plon_pszenicy","plon_rzepa","wilgotnosc_proc","ph_gleby","plon_ponizej_5","wilg_powyzej_70"
1,"I","srednie",13.2,6.81,5.25,57.3,7.5,FALSE,FALSE
2,"III","srednie",29.1,6.14,4.41,51.5,6,FALSE,FALSE
3,"II","srednie",10.7,5.32,4.43,62.1,6.5,FALSE,FALSE
4,"II","srednie",5.7,5.75,4.5,59,6.5,FALSE,FALSE
5,"I","srednie",6.3,7.26,5.22,48.1,6.5,FALSE,FALSE
6,"III","srednie",29.7,6.02,3.66,54.5,5.6,FALSE,FALSE
7,"II","niskie",44.3,5.48,5.04,59.4,6.5,FALSE,FALSE
8,"I","srednie",9.5,8.3,5.01,53.3,6.9,FALSE,FALSE
9,"II","srednie",35.3,7.06,4.48,48,5.8,FALSE,FALSE
10,"III","srednie",10.4,5.75,4.5,71.1,8,FALSE,TRUE
11,"II","srednie",8.6,4.36,3.19,60.9,6.2,TRUE,FALSE
12,"II","srednie",43.2,6.21,4.55,65.7,6.1,FALSE,FALSE
13,"II","wysokie",51.4,6.96,4.4,66.4,5.9,FALSE,FALSE
14,"III","srednie",15.6,6.19,3.38,74.4,7.3,FALSE,TRUE
15,"II","srednie",6.1,6.55,4.24,68.7,8,FALSE,FALSE
16,"III","srednie",20.3,5.52,4.91,39.3,5.9,FALSE,FALSE
17,"II","srednie",6.3,7.08,4.54,37.7,5.8,FALSE,FALSE
18,"III","srednie",21.4,5.56,3.49,54.5,6,FALSE,FALSE
19,"II","niskie",47.3,4.92,3.33,68.9,5.5,TRUE,FALSE
20,"III","srednie",15.2,3.8,4.67,65.6,7.5,TRUE,FALSE
21,"III","wysokie",16.1,5.05,3.45,75,5.9,FALSE,TRUE
22,"III","wysokie",3.9,4.21,4.14,52.9,5.4,TRUE,FALSE
23,"II","niskie",11.3,4.46,4.33,43.8,5.5,TRUE,FALSE
24,"I","srednie",57.4,7.5,5.23,39.8,6.1,FALSE,FALSE
25,"II","wysokie",5.8,6.97,4.26,77.5,5.4,FALSE,TRUE
26,"II","wysokie",23.5,6.03,4.17,81.5,6.6,FALSE,TRUE
27,"III","niskie",9.1,4.77,2.72,45.9,5.8,TRUE,FALSE
28,"II","wysokie",7.9,6.3,4.75,48.3,7.1,FALSE,FALSE
29,"II","srednie",57.8,7.13,4.46,88.3,7,FALSE,TRUE
30,"I","niskie",3.3,5.82,4.39,44.9,6.5,FALSE,FALSE
31,"II","srednie",67.9,6.83,3.68,44.9,6.6,FALSE,FALSE
32,"I","niskie",6.4,5.92,3.73,42.4,6.6,FALSE,FALSE
33,"III","srednie",5.6,5,4.24,40.1,6.2,FALSE,FALSE
34,"III","srednie",22.8,3.9,3.64,48.9,6.1,TRUE,FALSE
35,"II","srednie",19.9,5.68,4.38,82.1,6.6,FALSE,TRUE
36,"II","niskie",8.7,7.11,4.38,51.6,6,FALSE,FALSE
37,"III","wysokie",6.4,5.27,4.17,34.3,6.1,FALSE,FALSE
38,"III","srednie",8,4.36,3.19,65.2,6.1,TRUE,FALSE
39,"II","wysokie",44.1,6.65,4,29.9,6.2,FALSE,FALSE
40,"II","niskie",15.9,6.75,3.13,47.4,5.5,FALSE,FALSE
41,"II","wysokie",55.9,7.38,4.07,74.8,6.5,FALSE,TRUE
42,"III","niskie",31.4,4.38,3.34,55.2,6.9,TRUE,FALSE
43,"I","srednie",26.1,9.27,5.03,23.8,7,FALSE,FALSE
44,"II","wysokie",43.3,6.96,4.09,75.9,5.2,FALSE,TRUE
45,"II","srednie",10.8,7.02,5.07,37.3,5.8,FALSE,FALSE
46,"III","niskie",31.6,3.55,3.47,55.6,7.3,TRUE,FALSE
47,"I","wysokie",34.3,8.71,6.31,62.9,7.8,FALSE,FALSE
48,"I","niskie",10.4,6.73,4.88,37.5,5.9,FALSE,FALSE
49,"II","srednie",108.5,6.38,4.27,46.5,6.4,FALSE,FALSE
50,"II","niskie",32.3,6.97,4.42,55.6,5.9,FALSE,FALSE
51,"II","srednie",21.5,6.74,4.5,51.4,4.9,FALSE,FALSE
52,"III","niskie",24.6,5.43,3.52,61.9,6.8,FALSE,FALSE
53,"III","wysokie",21.2,6.05,4.59,57.8,5.8,FALSE,FALSE
54,"II","wysokie",57.1,6.33,5.37,36.8,6.7,FALSE,FALSE
55,"I","niskie",12.8,5.49,4.52,39.2,7.3,FALSE,FALSE
56,"II","niskie",30.5,5.93,3.97,50.1,6,FALSE,FALSE
57,"II","wysokie",8.7,6.33,4.83,60.8,7.4,FALSE,FALSE
58,"III","niskie",3,4.75,2.98,79.8,6,TRUE,TRUE
59,"II","srednie",6.6,6.67,5.08,80.5,7.6,FALSE,TRUE
60,"I","srednie",52.3,6.48,5.31,57.7,7,FALSE,FALSE
61,"I","wysokie",42.6,7.6,4.63,31,6.5,FALSE,FALSE
62,"I","srednie",14.8,6.61,4.74,69.8,6.7,FALSE,FALSE
63,"III","srednie",22.6,6.84,3.72,73.6,6.4,FALSE,TRUE
64,"II","srednie",5.3,7.22,4.89,52.6,6.5,FALSE,FALSE
65,"II","srednie",17.6,6.2,4.81,62,6.3,FALSE,FALSE
66,"II","srednie",19.5,7.55,4.99,46.7,5.9,FALSE,FALSE
67,"III","srednie",9.2,5.85,4.43,57.1,7.5,FALSE,FALSE
68,"II","srednie",21.1,6.27,4.48,62.5,5.6,FALSE,FALSE
69,"I","srednie",12,7.13,4.88,69.8,7,FALSE,FALSE
70,"I","srednie",15.9,6.68,4.8,65.3,7.8,FALSE,FALSE
71,"I","srednie",10.1,7.77,4.77,62.8,5.3,FALSE,FALSE
72,"III","srednie",19.8,4.95,4.41,40.1,5.7,TRUE,FALSE
73,"III","niskie",41.4,4.72,4.37,76.9,5.6,TRUE,TRUE
74,"III","srednie",28.7,6.15,4.3,25,6.4,FALSE,FALSE
75,"III","wysokie",13.3,6.66,4.31,45.7,6,FALSE,FALSE
76,"II","niskie",23.2,5.86,5.01,74.3,7,FALSE,TRUE
77,"III","niskie",12.2,4.5,3.21,47.9,7.2,TRUE,FALSE
78,"III","niskie",4.5,5.77,2.55,52.5,7.6,FALSE,FALSE
79,"III","niskie",4.1,3.95,2.19,91.1,6.1,TRUE,TRUE
80,"III","srednie",5.5,3.53,3.46,71.2,6.3,TRUE,TRUE
81,"III","srednie",26.4,4.72,3.43,38.4,6.4,TRUE,FALSE
82,"III","niskie",50.3,3.21,3.1,51.1,5.6,TRUE,FALSE
83,"III","srednie",16.7,4.81,3.48,45.4,5.5,TRUE,FALSE
84,"I","wysokie",9.8,8.01,4.97,59.3,5.5,FALSE,FALSE
85,"III","niskie",38.2,5.53,2.68,39,6.3,FALSE,FALSE
86,"III","srednie",23.6,5.37,4.25,53.9,6.2,FALSE,FALSE
87,"III","wysokie",72.4,6.03,3.65,78,6.5,FALSE,TRUE
88,"I","srednie",27.3,8.36,4.74,67.3,6.2,FALSE,FALSE
89,"I","srednie",30.1,6.8,4.42,65,5.6,FALSE,FALSE
90,"III","niskie",44,5.42,2.16,50.3,5,FALSE,FALSE
91,"I","srednie",36.4,7.46,4.99,53.6,5.6,FALSE,FALSE
92,"II","srednie",8,6.85,4.68,63.6,6.9,FALSE,FALSE
93,"II","srednie",49,6.39,3.99,38.8,5.4,FALSE,FALSE
94,"II","niskie",15.8,5.09,4.69,22,6.6,FALSE,FALSE
95,"II","niskie",44.9,6.44,4.2,53.2,6,FALSE,FALSE
96,"I","niskie",29.7,6.4,3.58,53,6.1,FALSE,FALSE
97,"I","niskie",14.7,7.01,5.08,69.2,6.8,FALSE,FALSE
98,"I","niskie",23.7,6.67,5.53,50.2,6.1,FALSE,FALSE
99,"I","srednie",15.6,6.66,4.45,47.3,6.8,FALSE,FALSE
100,"II","wysokie",46.7,4.95,4.1,65.1,7.4,TRUE,FALSE
101,"II","niskie",11.2,5.3,3.96,48.1,7.2,FALSE,FALSE
102,"II","wysokie",32.7,7.06,4.72,79.9,5.7,FALSE,TRUE
103,"III","niskie",2.9,4.24,3.13,43.5,6.5,TRUE,FALSE
104,"II","wysokie",9.4,6.18,4.5,69.8,6.6,FALSE,FALSE
105,"II","srednie",14.5,5.08,4.19,29.1,5.5,FALSE,FALSE
106,"I","srednie",6.4,7.42,5.16,79.1,6.1,FALSE,TRUE
107,"I","niskie",52,6.76,4.75,56.1,7.1,FALSE,FALSE
108,"III","srednie",10.9,6.31,3.81,29.1,6.9,FALSE,FALSE
109,"II","srednie",4.4,6.51,4.45,37.5,6.6,FALSE,FALSE
110,"II","wysokie",10.2,8.15,4.56,55.7,6.6,FALSE,FALSE
111,"II","niskie",40,5.72,4.04,82.4,6,FALSE,TRUE
112,"II","wysokie",4.2,6.5,5.28,49.5,6.8,FALSE,FALSE
113,"I","srednie",11.5,7.67,5.42,55.7,6.7,FALSE,FALSE
114,"II","srednie",27.9,6.35,3.76,70.2,6.5,FALSE,TRUE
115,"II","wysokie",6.1,6.82,5,57.3,7.3,FALSE,FALSE
116,"I","niskie",22.4,5.56,3.94,54.1,6,FALSE,FALSE
117,"II","wysokie",22.5,6.6,4.37,56.9,5.8,FALSE,FALSE
118,"I","srednie",23.8,6.08,5.39,53.1,6.4,FALSE,FALSE
119,"II","srednie",51.6,6.02,4.43,60.5,6,FALSE,FALSE
120,"II","wysokie",13.1,7.68,5.11,63.9,5.6,FALSE,FALSE
121,"II","wysokie",12.9,3.78,4.45,35.1,5.2,TRUE,FALSE
122,"I","srednie",10.1,6.79,4.88,53.2,6.3,FALSE,FALSE
123,"II","srednie",52.7,6.11,2.99,46.1,7.3,FALSE,FALSE
124,"I","srednie",10.2,6.36,4.93,65.1,6.8,FALSE,FALSE
125,"III","srednie",33.6,4.03,3.84,56.7,6.9,TRUE,FALSE
126,"I","wysokie",22.2,9.43,5.87,39.2,6.8,FALSE,FALSE
127,"II","srednie",19.8,7.01,5.57,63.3,5.5,FALSE,FALSE
128,"II","srednie",109,5.45,4.36,27.2,5.5,FALSE,FALSE
129,"I","wysokie",25.9,8.07,4.77,70.6,6.8,FALSE,TRUE
130,"III","niskie",12.1,4.05,3.35,35.5,6.2,TRUE,FALSE
131,"II","srednie",4.3,5.53,3.72,82.5,5.6,FALSE,TRUE
132,"II","srednie",16.1,6.84,4.4,49.4,5.7,FALSE,FALSE
133,"III","srednie",106.8,5.8,3.61,51.8,6,FALSE,FALSE
134,"I","srednie",4.1,6.51,5.21,40.7,7.5,FALSE,FALSE
135,"II","niskie",56.2,7.57,3.84,32.5,5.5,FALSE,FALSE
136,"I","srednie",32.7,6.47,5.05,61.1,6.6,FALSE,FALSE
137,"III","srednie",7.1,5.92,4.42,36.5,6.3,FALSE,FALSE
138,"II","niskie",25,5.7,3.84,68,7.7,FALSE,FALSE
139,"I","srednie",183.5,7.04,4.67,29.4,5.5,FALSE,FALSE
140,"III","wysokie",25.3,5.6,4.33,47.9,5.6,FALSE,FALSE
141,"III","srednie",101.6,6.39,2.79,65.6,5.9,FALSE,FALSE
142,"II","wysokie",5.9,7.97,4.56,54.9,5.1,FALSE,FALSE
143,"I","srednie",15.3,7.41,3.94,66.6,6.1,FALSE,FALSE
144,"I","srednie",14.1,8.2,4.54,60.3,5.5,FALSE,FALSE
145,"III","niskie",40.7,4.44,4.34,57.6,5.9,TRUE,FALSE
146,"II","srednie",12.8,7.21,5.07,83.3,7.4,FALSE,TRUE
147,"III","niskie",54.6,4.39,3.98,43.2,6.4,TRUE,FALSE
148,"III","srednie",11.2,6.56,4.3,56,7.2,FALSE,FALSE
149,"II","niskie",17.1,4.16,4.36,46.2,6.4,TRUE,FALSE
150,"I","srednie",40.5,8.54,4.14,45.8,5.8,FALSE,FALSE
151,"II","srednie",62,6.57,4.9,53.3,6.5,FALSE,FALSE
152,"III","wysokie",16.7,6.62,4.03,44.3,6.2,FALSE,FALSE
153,"II","niskie",5,7.26,3.4,68,6.9,FALSE,FALSE
154,"I","srednie",9.2,8.33,5.45,69.5,5.8,FALSE,FALSE
155,"II","wysokie",24.9,8.7,4.73,63.4,6.6,FALSE,FALSE
156,"II","wysokie",11.9,7.47,4.61,30.3,5.7,FALSE,FALSE
157,"III","srednie",78,3.56,4.2,50.9,6.8,TRUE,FALSE
158,"III","niskie",77,4.04,3.5,62.8,6.2,TRUE,FALSE
159,"III","srednie",7.2,6.11,2.83,54.8,7.2,FALSE,FALSE
160,"II","srednie",4.4,5.94,4.28,77,6.3,FALSE,TRUE
161,"III","srednie",9.7,5.55,3.13,51.6,6.7,FALSE,FALSE
162,"II","srednie",13.5,5.96,5.04,55.3,7.3,FALSE,FALSE
163,"III","srednie",4.8,5.6,4.56,61,6.9,FALSE,FALSE
164,"II","srednie",4.7,6.4,3.72,63.7,6.5,FALSE,FALSE
165,"III","wysokie",20.2,5.66,3.91,63,5.6,FALSE,FALSE
166,"III","niskie",7.6,5.03,3.16,50.1,6.7,FALSE,FALSE
167,"II","niskie",19.3,6.96,4.41,77.3,5.4,FALSE,TRUE
168,"I","srednie",11.2,7.03,4.77,63.4,7.1,FALSE,FALSE
169,"II","wysokie",25.2,5.88,4.7,62.5,6,FALSE,FALSE
170,"I","srednie",29.1,8.38,4.92,43.4,6.6,FALSE,FALSE
171,"III","srednie",32.3,4.01,2.81,43.9,5.7,TRUE,FALSE
172,"II","niskie",8.8,5.99,3.6,48.2,6.5,FALSE,FALSE
