"id_lokalizacji","data_obserwacji","region","strefa","typ_pokrycia","szerokosc_geo","dlugosc_geo","wysokosc_m","zachmurzenie_pct","ndvi","grunt_temp_c","sat_temp_c","roznica_temp_c","jakosc_pomiaru","pomiar_dostepny"
"P001","2026-05-18","centrum","zielona","las",51.08422,16.92635,208,9.3,0.84,24,24.52,0.53,"dobra","tak"
"P002","2026-05-18","wschod","miejska","zabudowa_luzna",50.85518,17.31408,95,39.4,0.091,28.09,27.58,-0.52,"ograniczona","tak"
"P003","2026-06-19","zachod","zielona","pole",50.99968,16.78743,112,45.7,0.518,26.76,26.71,-0.05,"ograniczona","tak"
"P004","2026-06-03","centrum","zielona","las",51.13167,16.81068,138,8.1,0.716,24.42,26.15,1.73,"dobra","tak"
"P005","2026-06-19","centrum","zielona","pole",51.0827,16.8818,127,67.9,0.427,29.1,30.72,1.63,"odrzucona","nie"
"P006","2026-06-03","centrum","zielona","pole",51.0377,17.26588,100,5.6,0.501,24.21,25.15,0.94,"dobra","tak"
"P007","2026-05-18","centrum","miejska","zabudowa_luzna",51.0112,16.93714,232,2.8,0.302,25.47,26.09,0.62,"dobra","tak"
"P008","2026-06-03","centrum","zielona","las",51.18969,17.308,179,17.8,0.762,22.93,23.66,0.73,"dobra","tak"
"P009","2026-06-03","zachod","zielona","las",51.03285,17.01569,174,40.5,0.657,24.47,25.71,1.24,"ograniczona","tak"
"P010","2026-06-19","wschod","zielona","park",50.87939,17.34663,157,25.5,0.504,22.06,22.07,0.02,"ograniczona","tak"
"P011","2026-06-19","wschod","zielona","park",51.21542,16.87733,201,22.6,0.551,24.74,26.05,1.3,"ograniczona","tak"
"P012","2026-05-18","centrum","zielona","pole",50.91085,17.04068,284,6.7,0.549,26.19,28.15,1.96,"dobra","tak"
"P013","2026-06-03","wschod","miejska","zabudowa_luzna",51.01631,16.8187,226,22.2,0.244,27.69,28.41,0.73,"ograniczona","tak"
"P014","2026-06-19","zachod","zielona","pole",51.19999,17.224,96,17.9,0.471,29.06,29.15,0.09,"dobra","tak"
