"tydzien","rok","liczba_reklamacji"
1,"2024",5
2,"2024",4
3,"2024",2
4,"2024",3
5,"2024",4
6,"2024",1
7,"2024",4
8,"2024",6
9,"2024",3
10,"2024",4
11,"2024",0
12,"2024",5
13,"2024",2
14,"2024",6
15,"2024",2
16,"2024",3
17,"2024",4
18,"2024",0
19,"2024",3
20,"2024",0
21,"2024",3
22,"2024",3
23,"2024",2
24,"2024",1
25,"2024",3
26,"2024",2
27,"2024",3
28,"2024",2
29,"2024",0
30,"2024",4
31,"2024",7
32,"2024",2
33,"2024",5
34,"2024",0
35,"2024",4
36,"2024",3
37,"2024",2
38,"2024",4
39,"2024",5
40,"2024",4
41,"2024",3
42,"2024",6
43,"2024",4
44,"2024",4
45,"2024",1
46,"2024",1
47,"2024",7
48,"2024",3
49,"2024",4
50,"2024",2
51,"2024",8
52,"2024",5
1,"2025",8
2,"2025",6
3,"2025",4
4,"2025",5
5,"2025",5
6,"2025",1
7,"2025",8
8,"2025",2
9,"2025",3
10,"2025",7
11,"2025",4
12,"2025",4
13,"2025",3
14,"2025",1
15,"2025",5
16,"2025",4
17,"2025",4
18,"2025",5
19,"2025",6
20,"2025",3
21,"2025",5
22,"2025",6
23,"2025",2
24,"2025",5
25,"2025",5
26,"2025",4
27,"2025",2
28,"2025",7
29,"2025",2
30,"2025",8
31,"2025",5
32,"2025",8
33,"2025",2
34,"2025",8
35,"2025",4
36,"2025",7
37,"2025",2
38,"2025",2
39,"2025",7
40,"2025",5
41,"2025",5
42,"2025",3
43,"2025",3
44,"2025",3
45,"2025",6
46,"2025",3
47,"2025",5
48,"2025",3
49,"2025",2
50,"2025",6
51,"2025",3
52,"2025",1
