"date","year","month","stopa"
"2000-01-01",2000,1,16.12
"2000-02-01",2000,2,15.87
"2000-03-01",2000,3,15.31
"2000-04-01",2000,4,15.13
"2000-05-01",2000,5,14.75
"2000-06-01",2000,6,14.89
"2000-07-01",2000,7,15.62
"2000-08-01",2000,8,15.86
"2000-09-01",2000,9,16.08
"2000-10-01",2000,10,16.61
"2000-11-01",2000,11,17.09
"2000-12-01",2000,12,17.17
"2001-01-01",2001,1,17.42
"2001-02-01",2001,2,17.54
"2001-03-01",2001,3,17.16
"2001-04-01",2001,4,16.68
"2001-05-01",2001,5,16.61
"2001-06-01",2001,6,16.68
"2001-07-01",2001,7,17.33
"2001-08-01",2001,8,17.37
"2001-09-01",2001,9,17.62
"2001-10-01",2001,10,17.96
"2001-11-01",2001,11,18.75
"2001-12-01",2001,12,19.08
"2002-01-01",2002,1,19.11
"2002-02-01",2002,2,19.19
"2002-03-01",2002,3,18.86
"2002-04-01",2002,4,18.49
"2002-05-01",2002,5,18.48
"2002-06-01",2002,6,18.52
"2002-07-01",2002,7,18.93
"2002-08-01",2002,8,19.17
"2002-09-01",2002,9,19.44
"2002-10-01",2002,10,19.85
"2002-11-01",2002,11,20.42
"2002-12-01",2002,12,20.53
"2003-01-01",2003,1,20.75
"2003-02-01",2003,2,20.57
"2003-03-01",2003,3,20.11
"2003-04-01",2003,4,19.27
"2003-05-01",2003,5,19.05
"2003-06-01",2003,6,18.54
"2003-07-01",2003,7,18.74
"2003-08-01",2003,8,18.89
"2003-09-01",2003,9,18.83
"2003-10-01",2003,10,19.19
"2003-11-01",2003,11,19.44
"2003-12-01",2003,12,19.27
"2004-01-01",2004,1,19
"2004-02-01",2004,2,18.56
"2004-03-01",2004,3,18.16
"2004-04-01",2004,4,17.35
"2004-05-01",2004,5,16.98
"2004-06-01",2004,6,16.84
"2004-07-01",2004,7,17.08
"2004-08-01",2004,8,16.87
"2004-09-01",2004,9,16.95
"2004-10-01",2004,10,17.02
"2004-11-01",2004,11,17.48
"2004-12-01",2004,12,17.77
"2005-01-01",2005,1,17.75
"2005-02-01",2005,2,16.97
"2005-03-01",2005,3,16.43
"2005-04-01",2005,4,15.65
"2005-05-01",2005,5,15.09
"2005-06-01",2005,6,15
"2005-07-01",2005,7,15.07
"2005-08-01",2005,8,14.97
"2005-09-01",2005,9,15.2
"2005-10-01",2005,10,15.57
"2005-11-01",2005,11,15.73
"2005-12-01",2005,12,15.88
"2006-01-01",2006,1,15.41
"2006-02-01",2006,2,15.06
"2006-03-01",2006,3,14.44
"2006-04-01",2006,4,13.81
"2006-05-01",2006,5,13.58
"2006-06-01",2006,6,13.09
"2006-07-01",2006,7,13.01
"2006-08-01",2006,8,13.17
"2006-09-01",2006,9,13.19
"2006-10-01",2006,10,13.34
"2006-11-01",2006,11,13.75
"2006-12-01",2006,12,13.96
"2007-01-01",2007,1,13.87
"2007-02-01",2007,2,13.57
"2007-03-01",2007,3,13.09
"2007-04-01",2007,4,12.25
"2007-05-01",2007,5,11.61
"2007-06-01",2007,6,11.26
"2007-07-01",2007,7,11.49
"2007-08-01",2007,8,11.38
"2007-09-01",2007,9,11.24
"2007-10-01",2007,10,11.43
"2007-11-01",2007,11,12
"2007-12-01",2007,12,12.14
"2008-01-01",2008,1,11.9
"2008-02-01",2008,2,11.6
"2008-03-01",2008,3,11.09
"2008-04-01",2008,4,10.44
"2008-05-01",2008,5,10.38
"2008-06-01",2008,6,10.15
"2008-07-01",2008,7,10.11
"2008-08-01",2008,8,10.18
"2008-09-01",2008,9,10.46
"2008-10-01",2008,10,10.41
"2008-11-01",2008,11,10.82
"2008-12-01",2008,12,10.78
"2009-01-01",2009,1,10.91
"2009-02-01",2009,2,10.64
"2009-03-01",2009,3,9.98
"2009-04-01",2009,4,9.29
"2009-05-01",2009,5,9
"2009-06-01",2009,6,8.83
"2009-07-01",2009,7,8.87
"2009-08-01",2009,8,8.71
"2009-09-01",2009,9,8.69
"2009-10-01",2009,10,9.17
"2009-11-01",2009,11,9.54
"2009-12-01",2009,12,9.79
"2010-01-01",2010,1,9.8
"2010-02-01",2010,2,9.31
"2010-03-01",2010,3,8.71
"2010-04-01",2010,4,7.79
"2010-05-01",2010,5,7.53
"2010-06-01",2010,6,7.58
"2010-07-01",2010,7,7.61
"2010-08-01",2010,8,7.35
"2010-09-01",2010,9,7.59
"2010-10-01",2010,10,7.95
"2010-11-01",2010,11,8.32
"2010-12-01",2010,12,8.21
"2011-01-01",2011,1,8.2
"2011-02-01",2011,2,7.98
"2011-03-01",2011,3,7.4
"2011-04-01",2011,4,6.7
"2011-05-01",2011,5,6.74
"2011-06-01",2011,6,6.76
"2011-07-01",2011,7,6.7
"2011-08-01",2011,8,6.42
"2011-09-01",2011,9,6.37
"2011-10-01",2011,10,6.77
"2011-11-01",2011,11,7.01
"2011-12-01",2011,12,7.01
"2012-01-01",2012,1,7.03
"2012-02-01",2012,2,7.11
"2012-03-01",2012,3,6.35
"2012-04-01",2012,4,6.03
"2012-05-01",2012,5,5.76
"2012-06-01",2012,6,5.32
"2012-07-01",2012,7,5.73
"2012-08-01",2012,8,5.7
"2012-09-01",2012,9,5.81
"2012-10-01",2012,10,6.21
"2012-11-01",2012,11,6.83
"2012-12-01",2012,12,7.02
"2013-01-01",2013,1,6.72
"2013-02-01",2013,2,6.25
"2013-03-01",2013,3,5.75
"2013-04-01",2013,4,5.39
"2013-05-01",2013,5,5.21
"2013-06-01",2013,6,5.06
"2013-07-01",2013,7,5.18
"2013-08-01",2013,8,5.49
"2013-09-01",2013,9,5.49
"2013-10-01",2013,10,5.88
"2013-11-01",2013,11,6.17
"2013-12-01",2013,12,6.44
"2014-01-01",2014,1,6.5
"2014-02-01",2014,2,6.21
"2014-03-01",2014,3,5.6
"2014-04-01",2014,4,4.87
"2014-05-01",2014,5,4.38
"2014-06-01",2014,6,4.03
"2014-07-01",2014,7,4.46
"2014-08-01",2014,8,4.44
"2014-09-01",2014,9,4.7
"2014-10-01",2014,10,5.07
"2014-11-01",2014,11,5.78
"2014-12-01",2014,12,5.61
"2015-01-01",2015,1,5.6
"2015-02-01",2015,2,5.95
"2015-03-01",2015,3,6
"2015-04-01",2015,4,6.67
"2015-05-01",2015,5,5.18
"2015-06-01",2015,6,4.46
"2015-07-01",2015,7,4.4
"2015-08-01",2015,8,4.38
"2015-09-01",2015,9,4.99
"2015-10-01",2015,10,6.03
"2015-11-01",2015,11,6.27
"2015-12-01",2015,12,6.23
"2016-01-01",2016,1,5.98
"2016-02-01",2016,2,5.62
"2016-03-01",2016,3,5.21
"2016-04-01",2016,4,4.43
"2016-05-01",2016,5,3.95
"2016-06-01",2016,6,3.89
"2016-07-01",2016,7,3.88
"2016-08-01",2016,8,3.37
"2016-09-01",2016,9,3.58
"2016-10-01",2016,10,3.67
"2016-11-01",2016,11,4.09
"2016-12-01",2016,12,4.06
"2017-01-01",2017,1,3.84
"2017-02-01",2017,2,3.52
"2017-03-01",2017,3,2.79
"2017-04-01",2017,4,2.33
"2017-05-01",2017,5,1.81
"2017-06-01",2017,6,1.83
"2017-07-01",2017,7,4.83
"2017-08-01",2017,8,5.14
"2017-09-01",2017,9,5.67
"2017-10-01",2017,10,6.37
"2017-11-01",2017,11,6.82
"2017-12-01",2017,12,6.99
"2018-01-01",2018,1,6.4
"2018-02-01",2018,2,5.92
