"date","year","month","cena_pln"
"2000-01-01",2000,1,51.8
"2000-02-01",2000,2,53.7
"2000-03-01",2000,3,48.3
"2000-04-01",2000,4,49.5
"2000-05-01",2000,5,54.5
"2000-06-01",2000,6,46.3
"2000-07-01",2000,7,46.1
"2000-08-01",2000,8,49.6
"2000-09-01",2000,9,49.4
"2000-10-01",2000,10,52.5
"2000-11-01",2000,11,47.2
"2000-12-01",2000,12,47.3
"2001-01-01",2001,1,41.8
"2001-02-01",2001,2,39.2
"2001-03-01",2001,3,41.1
"2001-04-01",2001,4,48.1
"2001-05-01",2001,5,49.3
"2001-06-01",2001,6,49.4
"2001-07-01",2001,7,52.3
"2001-08-01",2001,8,63.4
"2001-09-01",2001,9,64.1
"2001-10-01",2001,10,62.4
"2001-11-01",2001,11,62.4
"2001-12-01",2001,12,62.7
"2002-01-01",2002,1,56.8
"2002-02-01",2002,2,51.2
"2002-03-01",2002,3,48.1
"2002-04-01",2002,4,56.4
"2002-05-01",2002,5,50.6
"2002-06-01",2002,6,41.9
"2002-07-01",2002,7,44.3
"2002-08-01",2002,8,43
"2002-09-01",2002,9,46.6
"2002-10-01",2002,10,49.4
"2002-11-01",2002,11,56.7
"2002-12-01",2002,12,59.1
"2003-01-01",2003,1,55.3
"2003-02-01",2003,2,54.5
"2003-03-01",2003,3,55.6
"2003-04-01",2003,4,60.2
"2003-05-01",2003,5,55.2
"2003-06-01",2003,6,49.2
"2003-07-01",2003,7,56.7
"2003-08-01",2003,8,64.1
"2003-09-01",2003,9,71.3
"2003-10-01",2003,10,61.1
"2003-11-01",2003,11,62.9
"2003-12-01",2003,12,61.7
"2004-01-01",2004,1,63.8
"2004-02-01",2004,2,61.6
"2004-03-01",2004,3,52
"2004-04-01",2004,4,57
"2004-05-01",2004,5,58
"2004-06-01",2004,6,53.3
"2004-07-01",2004,7,54
"2004-08-01",2004,8,64.5
"2004-09-01",2004,9,69.9
"2004-10-01",2004,10,68.6
"2004-11-01",2004,11,70.8
"2004-12-01",2004,12,68.4
"2005-01-01",2005,1,66
"2005-02-01",2005,2,62.4
"2005-03-01",2005,3,55.7
"2005-04-01",2005,4,55.3
"2005-05-01",2005,5,56.6
"2005-06-01",2005,6,48.9
"2005-07-01",2005,7,49.3
"2005-08-01",2005,8,55.5
"2005-09-01",2005,9,63.2
"2005-10-01",2005,10,63.7
"2005-11-01",2005,11,67.5
"2005-12-01",2005,12,60.5
"2006-01-01",2006,1,59
"2006-02-01",2006,2,59.8
"2006-03-01",2006,3,61.5
"2006-04-01",2006,4,58.7
"2006-05-01",2006,5,57.4
"2006-06-01",2006,6,54.6
"2006-07-01",2006,7,49.5
"2006-08-01",2006,8,55.2
"2006-09-01",2006,9,62.9
"2006-10-01",2006,10,60.9
"2006-11-01",2006,11,52.6
"2006-12-01",2006,12,51.2
"2007-01-01",2007,1,49.4
"2007-02-01",2007,2,54
"2007-03-01",2007,3,58.4
"2007-04-01",2007,4,52.9
"2007-05-01",2007,5,52.9
"2007-06-01",2007,6,51
"2007-07-01",2007,7,62.1
"2007-08-01",2007,8,67.9
"2007-09-01",2007,9,74.5
"2007-10-01",2007,10,71.2
"2007-11-01",2007,11,67.5
"2007-12-01",2007,12,69.1
"2008-01-01",2008,1,71.9
"2008-02-01",2008,2,69.8
"2008-03-01",2008,3,68
"2008-04-01",2008,4,62.3
"2008-05-01",2008,5,57.1
"2008-06-01",2008,6,57.1
"2008-07-01",2008,7,67.3
"2008-08-01",2008,8,76.7
"2008-09-01",2008,9,79.7
"2008-10-01",2008,10,76.8
"2008-11-01",2008,11,78
"2008-12-01",2008,12,80
"2009-01-01",2009,1,77.5
"2009-02-01",2009,2,86.1
"2009-03-01",2009,3,81.6
"2009-04-01",2009,4,88.2
"2009-05-01",2009,5,98.7
"2009-06-01",2009,6,87
"2009-07-01",2009,7,98
"2009-08-01",2009,8,119.1
"2009-09-01",2009,9,127.9
"2009-10-01",2009,10,126.4
"2009-11-01",2009,11,124.9
"2009-12-01",2009,12,123.9
"2010-01-01",2010,1,119.7
"2010-02-01",2010,2,111.8
"2010-03-01",2010,3,110.8
"2010-04-01",2010,4,110.4
"2010-05-01",2010,5,106.2
"2010-06-01",2010,6,99.5
"2010-07-01",2010,7,99.6
"2010-08-01",2010,8,113.5
"2010-09-01",2010,9,113.1
"2010-10-01",2010,10,114.8
"2010-11-01",2010,11,111.8
"2010-12-01",2010,12,112.7
"2011-01-01",2011,1,108.3
"2011-02-01",2011,2,103.8
"2011-03-01",2011,3,95.6
"2011-04-01",2011,4,93.7
"2011-05-01",2011,5,91.6
"2011-06-01",2011,6,84.2
"2011-07-01",2011,7,80.1
"2011-08-01",2011,8,90.2
"2011-09-01",2011,9,89.1
"2011-10-01",2011,10,82.7
"2011-11-01",2011,11,79.8
"2011-12-01",2011,12,74.7
"2012-01-01",2012,1,76.5
"2012-02-01",2012,2,78.6
"2012-03-01",2012,3,76
"2012-04-01",2012,4,75.9
"2012-05-01",2012,5,73.3
"2012-06-01",2012,6,65.6
"2012-07-01",2012,7,71.5
"2012-08-01",2012,8,86.7
"2012-09-01",2012,9,96.3
"2012-10-01",2012,10,93.3
"2012-11-01",2012,11,90.2
"2012-12-01",2012,12,85.6
"2013-01-01",2013,1,84.6
"2013-02-01",2013,2,83.1
"2013-03-01",2013,3,83.4
"2013-04-01",2013,4,78.5
"2013-05-01",2013,5,74.5
"2013-06-01",2013,6,71
"2013-07-01",2013,7,78.7
"2013-08-01",2013,8,93.5
"2013-09-01",2013,9,97.4
"2013-10-01",2013,10,91.6
"2013-11-01",2013,11,89.6
"2013-12-01",2013,12,92.2
"2014-01-01",2014,1,82.6
"2014-02-01",2014,2,82.7
"2014-03-01",2014,3,76.5
"2014-04-01",2014,4,82.5
"2014-05-01",2014,5,80.2
"2014-06-01",2014,6,77.6
"2014-07-01",2014,7,74.6
"2014-08-01",2014,8,93.8
"2014-09-01",2014,9,100.2
"2014-10-01",2014,10,95.7
"2014-11-01",2014,11,90.6
"2014-12-01",2014,12,87.6
"2015-01-01",2015,1,92.8
"2015-02-01",2015,2,92.6
"2015-03-01",2015,3,90.4
"2015-04-01",2015,4,88.4
"2015-05-01",2015,5,81.6
"2015-06-01",2015,6,75.9
"2015-07-01",2015,7,83.5
"2015-08-01",2015,8,90.2
"2015-09-01",2015,9,92.2
"2015-10-01",2015,10,89.3
"2015-11-01",2015,11,89.7
"2015-12-01",2015,12,84.2
"2016-01-01",2016,1,85.2
"2016-02-01",2016,2,91.4
"2016-03-01",2016,3,80.7
"2016-04-01",2016,4,74.3
"2016-05-01",2016,5,72.9
"2016-06-01",2016,6,76.6
"2016-07-01",2016,7,84
"2016-08-01",2016,8,92.9
