"date","year","month","noclegi"
"2010-01-01",2010,1,5.9
"2010-02-01",2010,2,6.2
"2010-03-01",2010,3,9.4
"2010-04-01",2010,4,10.5
"2010-05-01",2010,5,12.3
"2010-06-01",2010,6,17.4
"2010-07-01",2010,7,25.7
"2010-08-01",2010,8,25.4
"2010-09-01",2010,9,20.3
"2010-10-01",2010,10,13.4
"2010-11-01",2010,11,8
"2010-12-01",2010,12,8.6
"2011-01-01",2011,1,6.5
"2011-02-01",2011,2,6.8
"2011-03-01",2011,3,8.9
"2011-04-01",2011,4,11.8
"2011-05-01",2011,5,13.1
"2011-06-01",2011,6,18
"2011-07-01",2011,7,25.8
"2011-08-01",2011,8,26.7
"2011-09-01",2011,9,20.5
"2011-10-01",2011,10,13.5
"2011-11-01",2011,11,8.8
"2011-12-01",2011,12,7.6
"2012-01-01",2012,1,7.5
"2012-02-01",2012,2,6
"2012-03-01",2012,3,8.8
"2012-04-01",2012,4,11.2
"2012-05-01",2012,5,13.8
"2012-06-01",2012,6,19.2
"2012-07-01",2012,7,27.9
"2012-08-01",2012,8,28.8
"2012-09-01",2012,9,21.8
"2012-10-01",2012,10,14.4
"2012-11-01",2012,11,8.8
"2012-12-01",2012,12,10.1
"2013-01-01",2013,1,7.5
"2013-02-01",2013,2,7.2
"2013-03-01",2013,3,9.2
"2013-04-01",2013,4,11.5
"2013-05-01",2013,5,13.9
"2013-06-01",2013,6,20.8
"2013-07-01",2013,7,29
"2013-08-01",2013,8,29.3
"2013-09-01",2013,9,22.2
"2013-10-01",2013,10,15.3
"2013-11-01",2013,11,10.1
"2013-12-01",2013,12,9.4
"2014-01-01",2014,1,7.7
"2014-02-01",2014,2,7
"2014-03-01",2014,3,10
"2014-04-01",2014,4,13.1
"2014-05-01",2014,5,15.1
"2014-06-01",2014,6,20.6
"2014-07-01",2014,7,30.3
"2014-08-01",2014,8,31.2
"2014-09-01",2014,9,23
"2014-10-01",2014,10,15.8
"2014-11-01",2014,11,9.2
"2014-12-01",2014,12,9.2
"2015-01-01",2015,1,7.1
"2015-02-01",2015,2,8.3
"2015-03-01",2015,3,10.5
"2015-04-01",2015,4,13.8
"2015-05-01",2015,5,16
"2015-06-01",2015,6,21.1
"2015-07-01",2015,7,31.4
"2015-08-01",2015,8,31.8
"2015-09-01",2015,9,23.5
"2015-10-01",2015,10,16.7
"2015-11-01",2015,11,10.2
"2015-12-01",2015,12,10.3
"2016-01-01",2016,1,8.8
"2016-02-01",2016,2,6.6
"2016-03-01",2016,3,10.6
"2016-04-01",2016,4,13.4
"2016-05-01",2016,5,16.3
"2016-06-01",2016,6,22.9
"2016-07-01",2016,7,32.6
"2016-08-01",2016,8,33.8
"2016-09-01",2016,9,25.2
"2016-10-01",2016,10,16.8
"2016-11-01",2016,11,10.1
"2016-12-01",2016,12,9.7
"2017-01-01",2017,1,7.7
"2017-02-01",2017,2,8
"2017-03-01",2017,3,11.7
"2017-04-01",2017,4,14.2
"2017-05-01",2017,5,16.7
"2017-06-01",2017,6,23
"2017-07-01",2017,7,34.4
"2017-08-01",2017,8,35
"2017-09-01",2017,9,26.7
"2017-10-01",2017,10,19.2
"2017-11-01",2017,11,11.3
"2017-12-01",2017,12,10.9
"2018-01-01",2018,1,9.6
"2018-02-01",2018,2,8.2
"2018-03-01",2018,3,11.8
"2018-04-01",2018,4,14.6
"2018-05-01",2018,5,17
"2018-06-01",2018,6,23.9
"2018-07-01",2018,7,34.6
"2018-08-01",2018,8,36.9
"2018-09-01",2018,9,27
"2018-10-01",2018,10,19.8
"2018-11-01",2018,11,11.9
"2018-12-01",2018,12,12.2
"2019-01-01",2019,1,8.2
"2019-02-01",2019,2,8.4
"2019-03-01",2019,3,12.3
"2019-04-01",2019,4,15.5
"2019-05-01",2019,5,17
"2019-06-01",2019,6,25.2
"2019-07-01",2019,7,35.9
"2019-08-01",2019,8,37.8
"2019-09-01",2019,9,29.3
"2019-10-01",2019,10,19.6
"2019-11-01",2019,11,11
"2019-12-01",2019,12,11.9
"2020-01-01",2020,1,9.2
"2020-02-01",2020,2,9.4
"2020-03-01",2020,3,1.1
"2020-04-01",2020,4,1.4
