"date","year","month","pm10"
"2015-01-01",2015,1,139
"2015-02-01",2015,2,114.1
"2015-03-01",2015,3,80
"2015-04-01",2015,4,31.2
"2015-05-01",2015,5,21.8
"2015-06-01",2015,6,13.6
"2015-07-01",2015,7,17.2
"2015-08-01",2015,8,20.3
"2015-09-01",2015,9,29.6
"2015-10-01",2015,10,48.4
"2015-11-01",2015,11,96.1
"2015-12-01",2015,12,119.7
"2016-01-01",2016,1,129.1
"2016-02-01",2016,2,110.4
"2016-03-01",2016,3,79
"2016-04-01",2016,4,38.6
"2016-05-01",2016,5,29.7
"2016-06-01",2016,6,17.4
"2016-07-01",2016,7,21.6
"2016-08-01",2016,8,16.7
"2016-09-01",2016,9,27.7
"2016-10-01",2016,10,49.7
"2016-11-01",2016,11,92.9
"2016-12-01",2016,12,128.4
"2017-01-01",2017,1,123.5
"2017-02-01",2017,2,103.8
"2017-03-01",2017,3,70
"2017-04-01",2017,4,43.5
"2017-05-01",2017,5,28.3
"2017-06-01",2017,6,14.4
"2017-07-01",2017,7,16.1
"2017-08-01",2017,8,12.3
"2017-09-01",2017,9,21.9
"2017-10-01",2017,10,48.9
"2017-11-01",2017,11,92.8
"2017-12-01",2017,12,123.4
"2018-01-01",2018,1,116.9
"2018-02-01",2018,2,97.3
"2018-03-01",2018,3,65.5
"2018-04-01",2018,4,27.8
"2018-05-01",2018,5,25.3
"2018-06-01",2018,6,17.9
"2018-07-01",2018,7,14.7
"2018-08-01",2018,8,21
"2018-09-01",2018,9,20.7
"2018-10-01",2018,10,48.3
"2018-11-01",2018,11,85.9
"2018-12-01",2018,12,114.9
"2019-01-01",2019,1,114
"2019-02-01",2019,2,90.1
"2019-03-01",2019,3,67.7
"2019-04-01",2019,4,31.2
"2019-05-01",2019,5,26.9
"2019-06-01",2019,6,16.7
"2019-07-01",2019,7,22.9
"2019-08-01",2019,8,14.3
"2019-09-01",2019,9,20.6
"2019-10-01",2019,10,41.4
"2019-11-01",2019,11,80.7
"2019-12-01",2019,12,100.9
"2020-01-01",2020,1,116.6
"2020-02-01",2020,2,90.1
"2020-03-01",2020,3,68.4
"2020-04-01",2020,4,23.1
"2020-05-01",2020,5,24.1
"2020-06-01",2020,6,18.2
"2020-07-01",2020,7,12.2
"2020-08-01",2020,8,16
"2020-09-01",2020,9,22.1
"2020-10-01",2020,10,44.5
"2020-11-01",2020,11,71.5
"2020-12-01",2020,12,94.2
"2021-01-01",2021,1,102.6
"2021-02-01",2021,2,89
"2021-03-01",2021,3,53.3
"2021-04-01",2021,4,27.3
"2021-05-01",2021,5,20.1
"2021-06-01",2021,6,14.6
"2021-07-01",2021,7,9.1
"2021-08-01",2021,8,9.1
"2021-09-01",2021,9,20.7
"2021-10-01",2021,10,45.1
"2021-11-01",2021,11,73.5
"2021-12-01",2021,12,95.7
"2022-01-01",2022,1,99
"2022-02-01",2022,2,81.6
"2022-03-01",2022,3,56.1
"2022-04-01",2022,4,26
"2022-05-01",2022,5,17.6
"2022-06-01",2022,6,13.7
"2022-07-01",2022,7,11.7
"2022-08-01",2022,8,17.8
"2022-09-01",2022,9,20.1
"2022-10-01",2022,10,42.7
"2022-11-01",2022,11,71.6
"2022-12-01",2022,12,95.1
"2023-01-01",2023,1,92.7
"2023-02-01",2023,2,72.1
"2023-03-01",2023,3,52.1
"2023-04-01",2023,4,29.4
"2023-05-01",2023,5,20.8
"2023-06-01",2023,6,9
"2023-07-01",2023,7,19.5
"2023-08-01",2023,8,8.7
"2023-09-01",2023,9,13.4
"2023-10-01",2023,10,29.5
"2023-11-01",2023,11,60.1
"2023-12-01",2023,12,88.9
