"date","year","month","sprzedaz"
"2005-01-01",2005,1,18.3
"2005-02-01",2005,2,16.9
"2005-03-01",2005,3,21.5
"2005-04-01",2005,4,21.5
"2005-05-01",2005,5,27.8
"2005-06-01",2005,6,23.2
"2005-07-01",2005,7,27.1
"2005-08-01",2005,8,26.1
"2005-09-01",2005,9,26.7
"2005-10-01",2005,10,29.9
"2005-11-01",2005,11,30.4
"2005-12-01",2005,12,37.5
"2006-01-01",2006,1,21.1
"2006-02-01",2006,2,19.1
"2006-03-01",2006,3,22
"2006-04-01",2006,4,28.9
"2006-05-01",2006,5,28.2
"2006-06-01",2006,6,29.2
"2006-07-01",2006,7,28.8
"2006-08-01",2006,8,30.5
"2006-09-01",2006,9,28.7
"2006-10-01",2006,10,28.6
"2006-11-01",2006,11,31.1
"2006-12-01",2006,12,43.5
"2007-01-01",2007,1,22.4
"2007-02-01",2007,2,25.4
"2007-03-01",2007,3,25.7
"2007-04-01",2007,4,28
"2007-05-01",2007,5,30.6
"2007-06-01",2007,6,32.2
"2007-07-01",2007,7,32
"2007-08-01",2007,8,33.5
"2007-09-01",2007,9,32.2
"2007-10-01",2007,10,33.1
"2007-11-01",2007,11,37.7
"2007-12-01",2007,12,48.1
"2008-01-01",2008,1,25.4
"2008-02-01",2008,2,24.1
"2008-03-01",2008,3,30.1
"2008-04-01",2008,4,31.3
"2008-05-01",2008,5,33.7
"2008-06-01",2008,6,35.8
"2008-07-01",2008,7,37.3
"2008-08-01",2008,8,37.8
"2008-09-01",2008,9,37.3
"2008-10-01",2008,10,40
"2008-11-01",2008,11,40.3
"2008-12-01",2008,12,54.9
"2009-01-01",2009,1,29.7
"2009-02-01",2009,2,26.7
"2009-03-01",2009,3,34.3
"2009-04-01",2009,4,35.5
"2009-05-01",2009,5,40.5
"2009-06-01",2009,6,39.4
"2009-07-01",2009,7,42.5
"2009-08-01",2009,8,40.3
"2009-09-01",2009,9,35.8
"2009-10-01",2009,10,43.4
"2009-11-01",2009,11,46.7
"2009-12-01",2009,12,57.8
"2010-01-01",2010,1,29.8
"2010-02-01",2010,2,30.4
"2010-03-01",2010,3,35.7
"2010-04-01",2010,4,43.1
"2010-05-01",2010,5,42.1
"2010-06-01",2010,6,43
"2010-07-01",2010,7,47
"2010-08-01",2010,8,44.4
"2010-09-01",2010,9,43.1
"2010-10-01",2010,10,46.2
"2010-11-01",2010,11,47.1
"2010-12-01",2010,12,64.6
"2011-01-01",2011,1,35.4
"2011-02-01",2011,2,34
"2011-03-01",2011,3,41.4
"2011-04-01",2011,4,43.4
"2011-05-01",2011,5,45.8
"2011-06-01",2011,6,45.9
"2011-07-01",2011,7,49.4
"2011-08-01",2011,8,50.1
"2011-09-01",2011,9,46.4
"2011-10-01",2011,10,47.7
"2011-11-01",2011,11,51.9
"2011-12-01",2011,12,69.5
"2012-01-01",2012,1,38.5
"2012-02-01",2012,2,36.7
"2012-03-01",2012,3,41.2
"2012-04-01",2012,4,49.3
"2012-05-01",2012,5,47
"2012-06-01",2012,6,50.9
"2012-07-01",2012,7,54.2
"2012-08-01",2012,8,50.2
"2012-09-01",2012,9,50.6
"2012-10-01",2012,10,54.3
"2012-11-01",2012,11,55.7
"2012-12-01",2012,12,73.1
"2013-01-01",2013,1,39.4
"2013-02-01",2013,2,40.6
"2013-03-01",2013,3,45.8
"2013-04-01",2013,4,49
"2013-05-01",2013,5,52.8
"2013-06-01",2013,6,55.9
"2013-07-01",2013,7,55.5
