"date","year","month","temp"
"1951-01-01",1951,1,-1.83
"1951-02-01",1951,2,-1.14
"1951-03-01",1951,3,3.05
"1951-04-01",1951,4,8.71
"1951-05-01",1951,5,16.13
"1951-06-01",1951,6,19.62
"1951-07-01",1951,7,20.36
"1951-08-01",1951,8,19.04
"1951-09-01",1951,9,12.3
"1951-10-01",1951,10,6.45
"1951-11-01",1951,11,-0.12
"1951-12-01",1951,12,-0.82
"1952-01-01",1952,1,-2.01
"1952-02-01",1952,2,-1.36
"1952-03-01",1952,3,-1.36
"1952-04-01",1952,4,8.82
"1952-05-01",1952,5,13.23
"1952-06-01",1952,6,18.47
"1952-07-01",1952,7,17.39
"1952-08-01",1952,8,16.42
"1952-09-01",1952,9,15.64
"1952-10-01",1952,10,8.49
"1952-11-01",1952,11,3.71
"1952-12-01",1952,12,-1.75
"1953-01-01",1953,1,-2.59
"1953-02-01",1953,2,-3.91
"1953-03-01",1953,3,3.09
"1953-04-01",1953,4,10.01
"1953-05-01",1953,5,11.68
"1953-06-01",1953,6,17.71
"1953-07-01",1953,7,17.65
"1953-08-01",1953,8,18.81
"1953-09-01",1953,9,13.36
"1953-10-01",1953,10,9.75
"1953-11-01",1953,11,1.57
"1953-12-01",1953,12,-0.88
"1954-01-01",1954,1,-2.65
"1954-02-01",1954,2,-2.41
"1954-03-01",1954,3,2.48
"1954-04-01",1954,4,9.68
"1954-05-01",1954,5,13.36
"1954-06-01",1954,6,17.88
"1954-07-01",1954,7,20.38
"1954-08-01",1954,8,22.05
"1954-09-01",1954,9,12.41
"1954-10-01",1954,10,8.28
"1954-11-01",1954,11,2.76
"1954-12-01",1954,12,-0.47
"1955-01-01",1955,1,-2.21
"1955-02-01",1955,2,1.02
"1955-03-01",1955,3,2.53
"1955-04-01",1955,4,8.03
"1955-05-01",1955,5,13.7
"1955-06-01",1955,6,16.47
"1955-07-01",1955,7,18.76
"1955-08-01",1955,8,17.31
"1955-09-01",1955,9,15.37
"1955-10-01",1955,10,7.78
"1955-11-01",1955,11,3.72
"1955-12-01",1955,12,-1.42
"1956-01-01",1956,1,-0.85
"1956-02-01",1956,2,-0.47
"1956-03-01",1956,3,4.08
"1956-04-01",1956,4,9.37
"1956-05-01",1956,5,16.94
"1956-06-01",1956,6,17.75
"1956-07-01",1956,7,16.94
"1956-08-01",1956,8,20.34
"1956-09-01",1956,9,14.83
"1956-10-01",1956,10,5.18
"1956-11-01",1956,11,3.93
"1956-12-01",1956,12,-3.05
"1957-01-01",1957,1,-2.64
"1957-02-01",1957,2,-1.54
"1957-03-01",1957,3,3.63
"1957-04-01",1957,4,8.72
"1957-05-01",1957,5,16.65
"1957-06-01",1957,6,18.92
"1957-07-01",1957,7,18.31
"1957-08-01",1957,8,19.38
"1957-09-01",1957,9,12.42
"1957-10-01",1957,10,9.56
"1957-11-01",1957,11,3.58
"1957-12-01",1957,12,-3.79
"1958-01-01",1958,1,-2.82
"1958-02-01",1958,2,-0.07
"1958-03-01",1958,3,3.12
"1958-04-01",1958,4,8.82
"1958-05-01",1958,5,14.33
"1958-06-01",1958,6,19.13
"1958-07-01",1958,7,18.07
"1958-08-01",1958,8,18.66
"1958-09-01",1958,9,13.2
"1958-10-01",1958,10,9.15
"1958-11-01",1958,11,3.16
"1958-12-01",1958,12,-4.2
"1959-01-01",1959,1,-4.63
"1959-02-01",1959,2,-3.25
"1959-03-01",1959,3,3.36
"1959-04-01",1959,4,10.82
"1959-05-01",1959,5,17.8
"1959-06-01",1959,6,18.62
"1959-07-01",1959,7,21.27
"1959-08-01",1959,8,19.59
"1959-09-01",1959,9,12.44
"1959-10-01",1959,10,8.74
"1959-11-01",1959,11,2.14
"1959-12-01",1959,12,0.34
"1960-01-01",1960,1,-3.76
"1960-02-01",1960,2,-3.17
"1960-03-01",1960,3,1.62
"1960-04-01",1960,4,10.8
"1960-05-01",1960,5,13.75
"1960-06-01",1960,6,17.99
"1960-07-01",1960,7,18.96
"1960-08-01",1960,8,16.87
"1960-09-01",1960,9,16.91
"1960-10-01",1960,10,8.98
"1960-11-01",1960,11,2.07
"1960-12-01",1960,12,0.01
"1961-01-01",1961,1,-3.32
"1961-02-01",1961,2,-2.01
"1961-03-01",1961,3,1.63
"1961-04-01",1961,4,8.98
"1961-05-01",1961,5,13.76
"1961-06-01",1961,6,18.1
"1961-07-01",1961,7,18.36
"1961-08-01",1961,8,17.93
"1961-09-01",1961,9,13.47
"1961-10-01",1961,10,8.99
"1961-11-01",1961,11,1.11
"1961-12-01",1961,12,-1.04
"1962-01-01",1962,1,-3.84
"1962-02-01",1962,2,-1.47
"1962-03-01",1962,3,5.84
"1962-04-01",1962,4,8.1
"1962-05-01",1962,5,13.1
"1962-06-01",1962,6,18.82
"1962-07-01",1962,7,20.34
"1962-08-01",1962,8,19.07
"1962-09-01",1962,9,15.06
"1962-10-01",1962,10,6.54
"1962-11-01",1962,11,1.38
"1962-12-01",1962,12,1.23
"1963-01-01",1963,1,-1.69
"1963-02-01",1963,2,-0.48
"1963-03-01",1963,3,5.93
"1963-04-01",1963,4,9.5
"1963-05-01",1963,5,16.03
"1963-06-01",1963,6,19.58
"1963-07-01",1963,7,18.32
"1963-08-01",1963,8,19.45
"1963-09-01",1963,9,17.66
"1963-10-01",1963,10,10.06
"1963-11-01",1963,11,1.44
"1963-12-01",1963,12,-5.31
"1964-01-01",1964,1,-2.42
"1964-02-01",1964,2,-1.91
"1964-03-01",1964,3,2.53
"1964-04-01",1964,4,9.74
"1964-05-01",1964,5,17.26
"1964-06-01",1964,6,18.13
"1964-07-01",1964,7,19.93
"1964-08-01",1964,8,21.72
"1964-09-01",1964,9,13.8
"1964-10-01",1964,10,7.45
"1964-11-01",1964,11,2.73
"1964-12-01",1964,12,-3.57
"1965-01-01",1965,1,-1.14
"1965-02-01",1965,2,1.62
"1965-03-01",1965,3,3.03
"1965-04-01",1965,4,10.65
"1965-05-01",1965,5,14.17
"1965-06-01",1965,6,18.45
"1965-07-01",1965,7,20.52
"1965-08-01",1965,8,21.18
"1965-09-01",1965,9,16.1
"1965-10-01",1965,10,8.6
"1965-11-01",1965,11,3.57
"1965-12-01",1965,12,-1.66
"1966-01-01",1966,1,-1.86
"1966-02-01",1966,2,-1.07
"1966-03-01",1966,3,4.51
"1966-04-01",1966,4,8.45
"1966-05-01",1966,5,14.35
"1966-06-01",1966,6,19.23
"1966-07-01",1966,7,21.38
"1966-08-01",1966,8,19.08
"1966-09-01",1966,9,13.45
"1966-10-01",1966,10,9.06
"1966-11-01",1966,11,1.77
"1966-12-01",1966,12,-2.57
"1967-01-01",1967,1,-2.03
"1967-02-01",1967,2,0.09
"1967-03-01",1967,3,5.4
"1967-04-01",1967,4,10.22
"1967-05-01",1967,5,16.67
"1967-06-01",1967,6,18.89
"1967-07-01",1967,7,23.22
"1967-08-01",1967,8,17.07
"1967-09-01",1967,9,14.41
"1967-10-01",1967,10,9.08
"1967-11-01",1967,11,1.53
"1967-12-01",1967,12,-0.79
"1968-01-01",1968,1,-1.35
"1968-02-01",1968,2,-2.79
"1968-03-01",1968,3,2.57
"1968-04-01",1968,4,9.63
"1968-05-01",1968,5,16.16
"1968-06-01",1968,6,18.83
"1968-07-01",1968,7,19.06
"1968-08-01",1968,8,20.42
"1968-09-01",1968,9,13.65
"1968-10-01",1968,10,4.6
"1968-11-01",1968,11,3.54
"1968-12-01",1968,12,-0.5
"1969-01-01",1969,1,-1.78
"1969-02-01",1969,2,-0.62
"1969-03-01",1969,3,2.81
"1969-04-01",1969,4,10.96
"1969-05-01",1969,5,14.04
"1969-06-01",1969,6,20.35
"1969-07-01",1969,7,20.24
"1969-08-01",1969,8,19.56
"1969-09-01",1969,9,14.5
"1969-10-01",1969,10,8.8
"1969-11-01",1969,11,2.55
"1969-12-01",1969,12,-0.39
"1970-01-01",1970,1,-3.09
"1970-02-01",1970,2,-0.47
"1970-03-01",1970,3,5.56
"1970-04-01",1970,4,10.42
"1970-05-01",1970,5,14.67
"1970-06-01",1970,6,17.76
"1970-07-01",1970,7,20.04
"1970-08-01",1970,8,19.81
"1970-09-01",1970,9,14.4
"1970-10-01",1970,10,7.77
"1970-11-01",1970,11,2.8
"1970-12-01",1970,12,-2.29
"1971-01-01",1971,1,-2.4
"1971-02-01",1971,2,0.22
"1971-03-01",1971,3,5.61
"1971-04-01",1971,4,11.09
"1971-05-01",1971,5,13.73
"1971-06-01",1971,6,20.95
"1971-07-01",1971,7,19.32
"1971-08-01",1971,8,20.07
"1971-09-01",1971,9,12.94
"1971-10-01",1971,10,8.73
"1971-11-01",1971,11,5.14
"1971-12-01",1971,12,-0.74
"1972-01-01",1972,1,-1.25
"1972-02-01",1972,2,-1.67
"1972-03-01",1972,3,4.1
"1972-04-01",1972,4,7.32
"1972-05-01",1972,5,15.23
"1972-06-01",1972,6,18.1
"1972-07-01",1972,7,20.9
"1972-08-01",1972,8,18.12
"1972-09-01",1972,9,14.2
"1972-10-01",1972,10,8.06
