"date","year","wig20","log_return"
"2000-01-07",2000,1700,NA
"2000-01-14",2000,1717,0.00971
"2000-01-21",2000,1696,-0.01201
"2000-01-28",2000,1704,0.00484
"2000-02-04",2000,1757,0.03049
"2000-02-11",2000,1776,0.01072
"2000-02-18",2000,1746,-0.01714
"2000-02-25",2000,1792,0.0261
"2000-03-03",2000,1737,-0.03131
"2000-03-10",2000,1713,-0.01386
"2000-03-17",2000,1616,-0.05847
"2000-03-24",2000,1602,-0.00862
"2000-03-31",2000,1524,-0.04985
"2000-04-07",2000,1563,0.0253
"2000-04-14",2000,1608,0.0287
"2000-04-21",2000,1559,-0.0314
"2000-04-28",2000,1523,-0.0231
"2000-05-05",2000,1476,-0.03162
"2000-05-12",2000,1451,-0.01657
"2000-05-19",2000,1503,0.03462
"2000-05-26",2000,1547,0.029
"2000-06-02",2000,1537,-0.00646
"2000-06-09",2000,1532,-0.00324
"2000-06-16",2000,1516,-0.01015
"2000-06-23",2000,1521,0.00281
"2000-06-30",2000,1503,-0.01168
"2000-07-07",2000,1504,0.00051
"2000-07-14",2000,1501,-0.00184
"2000-07-21",2000,1565,0.0419
"2000-07-28",2000,1514,-0.03352
"2000-08-04",2000,1539,0.01637
"2000-08-11",2000,1550,0.00709
"2000-08-18",2000,1526,-0.01561
"2000-08-25",2000,1510,-0.01033
"2000-09-01",2000,1548,0.02516
"2000-09-08",2000,1549,0.00072
"2000-09-15",2000,1582,0.02067
"2000-09-22",2000,1587,0.00334
"2000-09-29",2000,1531,-0.03591
"2000-10-06",2000,1526,-0.00353
"2000-10-13",2000,1609,0.05295
"2000-10-20",2000,1568,-0.02545
"2000-10-27",2000,1630,0.03857
"2000-11-03",2000,1666,0.02211
"2000-11-10",2000,1695,0.01716
"2000-11-17",2000,1707,0.00675
"2000-11-24",2000,1750,0.02505
"2000-12-01",2000,1771,0.01168
"2000-12-08",2000,1806,0.01972
"2000-12-15",2000,1759,-0.02597
"2000-12-22",2000,1724,-0.02033
"2000-12-29",2000,1819,0.05363
"2001-01-05",2001,1891,0.03872
"2001-01-12",2001,1797,-0.05107
"2001-01-19",2001,1928,0.0706
"2001-01-26",2001,1900,-0.01472
"2001-02-02",2001,2063,0.0824
"2001-02-09",2001,2067,0.00202
"2001-02-16",2001,2016,-0.02503
"2001-02-23",2001,2117,0.04868
"2001-03-02",2001,2096,-0.00996
"2001-03-09",2001,1928,-0.08336
"2001-03-16",2001,2090,0.08032
"2001-03-23",2001,2154,0.03046
"2001-03-30",2001,2461,0.13307
"2001-04-06",2001,2401,-0.02453
"2001-04-13",2001,2346,-0.02302
"2001-04-20",2001,2444,0.04072
"2001-04-27",2001,2328,-0.04841
"2001-05-04",2001,2138,-0.08546
"2001-05-11",2001,2018,-0.05788
"2001-05-18",2001,2145,0.06114
"2001-05-25",2001,2041,-0.04947
"2001-06-01",2001,2121,0.03848
"2001-06-08",2001,2081,-0.01929
"2001-06-15",2001,2059,-0.01047
"2001-06-22",2001,2135,0.03615
"2001-06-29",2001,2237,0.04672
"2001-07-06",2001,2196,-0.01863
"2001-07-13",2001,2131,-0.03012
"2001-07-20",2001,2237,0.04861
"2001-07-27",2001,2338,0.04426
"2001-08-03",2001,2331,-0.00281
"2001-08-10",2001,2321,-0.00426
"2001-08-17",2001,2376,0.02334
"2001-08-24",2001,2395,0.00789
"2001-08-31",2001,2376,-0.00806
"2001-09-07",2001,2315,-0.02603
"2001-09-14",2001,2219,-0.04219
"2001-09-21",2001,2213,-0.0028
"2001-09-28",2001,2277,0.02865
"2001-10-05",2001,2249,-0.01246
"2001-10-12",2001,2329,0.03485
"2001-10-19",2001,2316,-0.00556
"2001-10-26",2001,2346,0.01281
"2001-11-02",2001,2358,0.00534
"2001-11-09",2001,2375,0.00705
"2001-11-16",2001,2354,-0.00899
"2001-11-23",2001,2365,0.00466
"2001-11-30",2001,2240,-0.05439
"2001-12-07",2001,2218,-0.00977
"2001-12-14",2001,2266,0.02168
"2001-12-21",2001,2263,-0.00138
"2001-12-28",2001,2232,-0.01379
"2002-01-04",2002,2318,0.03767
"2002-01-11",2002,2253,-0.02859
"2002-01-18",2002,2239,-0.006
"2002-01-25",2002,2238,-0.00042
"2002-02-01",2002,2153,-0.03861
"2002-02-08",2002,2221,0.0309
"2002-02-15",2002,2283,0.02752
"2002-02-22",2002,2225,-0.02571
"2002-03-01",2002,2210,-0.00669
"2002-03-08",2002,2226,0.0072
"2002-03-15",2002,2340,0.04989
"2002-03-22",2002,2281,-0.02579
"2002-03-29",2002,2269,-0.00512
"2002-04-05",2002,2243,-0.01168
"2002-04-12",2002,2276,0.01494
"2002-04-19",2002,2331,0.02381
"2002-04-26",2002,2343,0.00515
"2002-05-03",2002,2296,-0.02036
"2002-05-10",2002,2346,0.02161
"2002-05-17",2002,2401,0.02309
"2002-05-24",2002,2397,-0.00165
"2002-05-31",2002,2401,0.00179
"2002-06-07",2002,2399,-0.00108
"2002-06-14",2002,2449,0.02082
"2002-06-21",2002,2458,0.00374
"2002-06-28",2002,2493,0.01395
"2002-07-05",2002,2557,0.02539
"2002-07-12",2002,2644,0.03359
"2002-07-19",2002,2636,-0.00306
"2002-07-26",2002,2653,0.00631
"2002-08-02",2002,2645,-0.00286
"2002-08-09",2002,2826,0.06618
"2002-08-16",2002,2775,-0.01822
"2002-08-23",2002,2870,0.03375
"2002-08-30",2002,2901,0.01047
"2002-09-06",2002,2964,0.0217
"2002-09-13",2002,2983,0.00641
"2002-09-20",2002,3043,0.01984
"2002-09-27",2002,3020,-0.00775
"2002-10-04",2002,3033,0.00452
"2002-10-11",2002,3000,-0.0112
"2002-10-18",2002,3041,0.01382
"2002-10-25",2002,3120,0.02568
"2002-11-01",2002,2975,-0.04768
"2002-11-08",2002,3117,0.04651
"2002-11-15",2002,3235,0.03724
"2002-11-22",2002,3259,0.00746
"2002-11-29",2002,3338,0.02377
"2002-12-06",2002,3242,-0.02916
"2002-12-13",2002,3290,0.01468
"2002-12-20",2002,3181,-0.0335
"2002-12-27",2002,3155,-0.00845
"2003-01-03",2003,3006,-0.04823
"2003-01-10",2003,2991,-0.00512
"2003-01-17",2003,2924,-0.02249
"2003-01-24",2003,2954,0.0102
"2003-01-31",2003,2904,-0.01709
"2003-02-07",2003,2837,-0.02318
"2003-02-14",2003,2859,0.00763
"2003-02-21",2003,2831,-0.00986
"2003-02-28",2003,2877,0.01606
"2003-03-07",2003,2941,0.02199
"2003-03-14",2003,2970,0.00993
"2003-03-21",2003,2939,-0.01054
"2003-03-28",2003,2976,0.01243
"2003-04-04",2003,2881,-0.03228
"2003-04-11",2003,2878,-0.00118
"2003-04-18",2003,2716,-0.05796
"2003-04-25",2003,2821,0.03807
"2003-05-02",2003,2885,0.02238
"2003-05-09",2003,2942,0.01943
"2003-05-16",2003,2919,-0.00764
"2003-05-23",2003,3028,0.03653
"2003-05-30",2003,2973,-0.01823
"2003-06-06",2003,2813,-0.05538
"2003-06-13",2003,2774,-0.014
"2003-06-20",2003,2815,0.01469
"2003-06-27",2003,2825,0.00362
"2003-07-04",2003,2900,0.02597
"2003-07-11",2003,3017,0.03972
"2003-07-18",2003,3087,0.02306
"2003-07-25",2003,3041,-0.01519
"2003-08-01",2003,3007,-0.01123
"2003-08-08",2003,3002,-0.00157
"2003-08-15",2003,2965,-0.01238
"2003-08-22",2003,2986,0.00686
"2003-08-29",2003,3060,0.02452
"2003-09-05",2003,3013,-0.01533
"2003-09-12",2003,3032,0.00625
"2003-09-19",2003,2917,-0.03865
"2003-09-26",2003,2931,0.0048
"2003-10-03",2003,2862,-0.024
"2003-10-10",2003,2893,0.01086
"2003-10-17",2003,2954,0.02071
"2003-10-24",2003,2905,-0.01651
"2003-10-31",2003,2885,-0.00705
"2003-11-07",2003,2859,-0.00903
"2003-11-14",2003,2884,0.00882
"2003-11-21",2003,2911,0.00913
"2003-11-28",2003,2804,-0.03735
"2003-12-05",2003,2749,-0.01986
"2003-12-12",2003,2817,0.02458
"2003-12-19",2003,2830,0.0044
"2003-12-26",2003,2847,0.00626
"2004-01-02",2004,2807,-0.01427
"2004-01-09",2004,2736,-0.02566
"2004-01-16",2004,2625,-0.04151
"2004-01-23",2004,2633,0.00324
"2004-01-30",2004,2658,0.00946
"2004-02-06",2004,2793,0.04947
"2004-02-13",2004,2885,0.0323
"2004-02-20",2004,2811,-0.02601
"2004-02-27",2004,2815,0.0016
"2004-03-05",2004,2873,0.02048
"2004-03-12",2004,2901,0.00955
"2004-03-19",2004,2931,0.0102
"2004-03-26",2004,2899,-0.0108
"2004-04-02",2004,2922,0.00791
"2004-04-09",2004,2898,-0.00847
"2004-04-16",2004,2827,-0.02457
"2004-04-23",2004,2766,-0.02195
"2004-04-30",2004,2818,0.01875
"2004-05-07",2004,2878,0.02086
"2004-05-14",2004,2959,0.02797
"2004-05-21",2004,2871,-0.03035
"2004-05-28",2004,2925,0.01853
"2004-06-04",2004,3059,0.04481
"2004-06-11",2004,3046,-0.00421
"2004-06-18",2004,3102,0.01829
"2004-06-25",2004,3053,-0.016
"2004-07-02",2004,3067,0.00479
"2004-07-09",2004,3150,0.02653
"2004-07-16",2004,3176,0.00839
"2004-07-23",2004,3180,0.00127
"2004-07-30",2004,3184,0.00098
"2004-08-06",2004,3209,0.0081
"2004-08-13",2004,3144,-0.0205
"2004-08-20",2004,3106,-0.01224
"2004-08-27",2004,3118,0.00379
"2004-09-03",2004,3001,-0.03802
"2004-09-10",2004,2965,-0.01234
"2004-09-17",2004,3159,0.06355
"2004-09-24",2004,3182,0.00705
"2004-10-01",2004,3140,-0.01316
"2004-10-08",2004,3245,0.03296
"2004-10-15",2004,3176,-0.02148
"2004-10-22",2004,3187,0.00352
"2004-10-29",2004,3301,0.03514
"2004-11-05",2004,3392,0.02693
"2004-11-12",2004,3438,0.01367
"2004-11-19",2004,3464,0.00761
"2004-11-26",2004,3396,-0.02007
"2004-12-03",2004,3342,-0.01584
"2004-12-10",2004,3400,0.01706
"2004-12-17",2004,3548,0.04255
"2004-12-24",2004,3563,0.00441
"2004-12-31",2004,3663,0.02752
"2005-01-07",2005,3581,-0.02248
"2005-01-14",2005,3573,-0.0024
"2005-01-21",2005,3513,-0.01689
"2005-01-28",2005,3595,0.02312
"2005-02-04",2005,3534,-0.01709
"2005-02-11",2005,3536,0.00058
"2005-02-18",2005,3578,0.01165
"2005-02-25",2005,3646,0.01897
"2005-03-04",2005,3651,0.00134
"2005-03-11",2005,3597,-0.01478
"2005-03-18",2005,3432,-0.04712
"2005-03-25",2005,3379,-0.0155
"2005-04-01",2005,3438,0.0172
"2005-04-08",2005,3485,0.01363
"2005-04-15",2005,3477,-0.00221
"2005-04-22",2005,3473,-0.0011
"2005-04-29",2005,3461,-0.0035
"2005-05-06",2005,3386,-0.02191
"2005-05-13",2005,3275,-0.03342
"2005-05-20",2005,3229,-0.01398
"2005-05-27",2005,3217,-0.00373
"2005-06-03",2005,3239,0.00654
"2005-06-10",2005,3293,0.01667
"2005-06-17",2005,3242,-0.01546
"2005-06-24",2005,3302,0.01831
"2005-07-01",2005,3247,-0.0169
"2005-07-08",2005,3237,-0.00321
"2005-07-15",2005,3310,0.02232
"2005-07-22",2005,3359,0.0147
